id,text,created_at,user_id,user_screen_name,user_name
1305444033548951554,@hddaddy90 How sbout Choriso and eggs and a Corona?,2020-09-14 09:51:26,1594281518,GeoBraunRadio,"George F. Braun, Esq."
1305444032798228480,"What has the corona pandemic exposed about our fiscal systems, and how might it change tax for the future? A piece… https://t.co/ogxlEdnkYt",2020-09-14 09:51:26,78689214,mirandasheild,miranda sheild johansson
1305444024480747520,@OpIndia_com Did it happen before Corona or after ?,2020-09-14 09:51:24,118427383,gbijup,Chai_voila
1305444003173851136,"@PMOIndia @DelhiPolice @MoHFW_INDIA
Hi corona warriors. I am at sector-5 maternity centre. My sister-in-law is alre… https://t.co/2ZDJKH6ebI",2020-09-14 09:51:18,1303982343707701248,AtenderMalik,Himanshu Atender Malik
1305444002464849920,"@globaltimesnews @narendramodi 😂😂Alliance with terrorist country Pakistan is peace keeping movement?

Gifting Wuhan… https://t.co/nuaukqtlUo",2020-09-14 09:51:18,911541625326788609,bh40701373,🇮🇳 Vinod Bhatt🇮🇳
1305444002041196544,@KatrinaResists Yep and then my kids Covid and Corona can maybe git inta MIT or whutdafuckitis.” https://t.co/JRGwqQd5DX,2020-09-14 09:51:18,1103853325466779648,ScenarioLENS,Scenario
1305443999684190208,"Be safe
#Corona https://t.co/rNQoXBUVdS",2020-09-14 09:51:18,2486563268,AtulDubeyNSUI,अतुल दुबे
1305443904762847235,Good day world whoever say Jesus is Lord just say amen you will be saved from corona virus in the name of Jesus amen.,2020-09-14 09:50:55,1194593309815197698,Given23678414,Discipline of Christ Church
1305443903852740608,Good Monday world have a nice day and may God protect u from corona virus in the name of Jesus amen.,2020-09-14 09:50:55,1194593309815197698,Given23678414,Discipline of Christ Church
1305443888073711616,"Some most irritating things for me VI advertisement, corona caller tune and online lectures! 
Sunna hi padta hai😒",2020-09-14 09:50:51,1281077269830660096,datingchaos,Rushikesh Kadam💦
1305443883254312961,@Saanj1023 Do not worry. It's corona period.,2020-09-14 09:50:50,3176240946,prabhat141414,Prabhat kumar.
1305443873989292032,"Corona happens or not,the olympics will be held in any casa,it has been annouced.
To watch this video on youtube 👇… https://t.co/sZS53XAuht",2020-09-14 09:50:48,1305041942221402113,NasaOta,Nasa Television OTA
1305443824798326784,"@ANI How many of those MP’s met with our Not so Dear Mochi g??

Seems Corona has taken a personal liking for BJP MP’s!!",2020-09-14 09:50:36,2433018391,Col__Rana,Col Rana(R)
1305443816695115777,"#COVID19 is a bitch &amp; Israelis would be forbearing if their government not lying to their faces. ""We're sorry; we h… https://t.co/T4FqKUhFjy",2020-09-14 09:50:34,927818520,NTarnopolsky,Noga Tarnopolsky
1305443809090703360,"@dtptraffic Dear Team,

Please help. This is a corona pandemic, each money matters. Where people in authorities lik… https://t.co/MQoKWl20Ri",2020-09-14 09:50:32,60831129,umardarazzz,Umar Daraz
1305443792548433920,Corona = World's biggest money fraud by FED and WEF! NWO is here! We lost the battle!,2020-09-14 09:50:28,1277158309565521920,CitizenWHY1,CitizenWHY
1305443785476694016,"@emraanhashmi You shooting in during the corona virus, so please more carefully stay safe, God bless you 😇",2020-09-14 09:50:27,412953603,EmraanHZainab,Sleeping Beauty🦋
1305443781861236736,A reminder China was the place where Corona originated from. It has the world largest population with 1.4 billion p… https://t.co/NC43LesVMO,2020-09-14 09:50:26,405579267,pavyg,Pavvy G
1305443738781732870,"@Queenmimiisme After the hint of Corona virus, she said Dubai😂😂😂",2020-09-14 09:50:15,1220437368211148800,Alameda_Nabbosa,Nengi's 🇺🇬Ninja🗡️ 🗡️
1305443723698896897,@Chef_Kachi Including the part where the interviewer gave her a clue using corona virus 🙄🙄🙄 cmonnnn even a child wo… https://t.co/SQMwgUYN6P,2020-09-14 09:50:12,986202592706465792,Dharmie_ak,Erica's Elite 🦁🌟
1305443719827591173,Of course. No one died. Winston would be proud of you guys. He really taught his humble servants well. Robert would… https://t.co/G5WW99kmGM,2020-09-14 09:50:11,1231525768209018880,paris_alliance,Indian Alliance Paris
1305443680849780738,Even Birthday of Corona is near but where the hell is vaccine will take birth ? 🤔😑,2020-09-14 09:50:02,1018505096852885505,pokhrelking,Anish Pokhrel🇳🇵🇳🇵🇳🇵
1305443680241803264,@NavttcP @Shafqat_Mahmood @EduMinistry @DrNKhanpk @ImranKhanPTI @javedhassan @KamyabJawanPK @UdarOfficial… https://t.co/KozIZPfKL7,2020-09-14 09:50:01,1095171193576058880,Sundas331,Sundas Malik
1305443679939842048,I swear attending the labs online worse than corona itself.,2020-09-14 09:50:01,2378625360,albannay_sa,𝑆𝐴
1305443671714590720,"@CMODelhi #DelhiFightsCorona Sir, I appreciate the action of Delhi govt in fighting Corona. Today, my wife tested p… https://t.co/YegtCVur0W",2020-09-14 09:49:59,789492595,kak_63,Ashok Kak
1305443631529103360,"@PHORAONE Phora is in a happy place now. Corona can pack its bags, we need shows😭😭💔",2020-09-14 09:49:50,898914402216415232,simmy_swaggz,Ndi Rich Qha Lowkey
1305443612520521729,"""T-Shirt und Adiletten"": Adidas profitiert vom Corona-Homeoffice https://t.co/fiK8n11CBs",2020-09-14 09:49:45,938335966284210176,watson_de,watson
1305443611635576832,someone in my year has corona again lmfao,2020-09-14 09:49:45,1262341529412214784,qhostinkrystal,check pinned• As Smart As RoseE
1305443575103197184,@DrOlufunmilayo Corona virus in Nigeria is a scam,2020-09-14 09:49:36,1687920662,Bennie_241,Uncle Ben....
1305443556916523008,@salokya @NepalFactCheck I liked the show. Our response to Corona has done greater damage than Corona itself. Coron… https://t.co/u5RwUM9PyO,2020-09-14 09:49:32,1106102540,JyotiSabu,Jyoti Sabu
1305443530559479809,"🤐🤐
ICMR shocker: India missed 80 corona cases for every one detected https://t.co/wfPHWc0CrJ",2020-09-14 09:49:26,1391290549,rainafan3,Akshaya
1305443522548383744,@Harpal_Jadeja_3 Thanks man....but corona is also one sneeze away 😂,2020-09-14 09:49:24,710326046,Harshil_Doshi,Harshil
1305443519146860545,My simple ? To all @realDonaldTrump @KremlinRussia_E @EmmanuelMacron @BorisJohnson @AngelaMerkeICDU @narendramodi… https://t.co/d1tkkr3iUF,2020-09-14 09:49:23,1175044020742971392,Samarthshankar7,Samarthshankara
1305443502868832259,@Travistritt @DrEtiquette Naw obama the antichrist did this. Every  thing was fine until Nancy  couldnt get her way… https://t.co/8x2SGQsMYd,2020-09-14 09:49:19,1216472904281591809,JDDudley8,JDDudley
